goals,group,lastUpdateDateTime,leagueId,leagueName,leagueSeason,leagueShortcut,location,matchDateTime,matchDateTimeUTC,matchID,matchIsFinished,matchResults,numberOfViewers,team1,team2,timeZoneID
"[Row(comment=None, goalGetterID=11532, goalGetterName='', goalID=21118, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=15, scoreTeam1=2, scoreTeam2=0), Row(comment=None, goalGetterID=11385, goalGetterName='', goalID=21119, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=12, scoreTeam1=1, scoreTeam2=0), Row(comment=None, goalGetterID=924, goalGetterName='', goalID=21132, isOvertime=False, isOwnGoal=True, isPenalty=False, matchMinute=40, scoreTeam1=2, scoreTeam2=1), Row(comment=None, goalGetterID=11533, goalGetterName='', goalID=21133, isOvertime=False, isOwnGoal=False, isPenalty=True, matchMinute=69, scoreTeam1=3, scoreTeam2=1)]","Row(groupID=13608, groupName='1. Spieltag', groupOrderID=1)",2013-09-20T08:47:02.05,623,1. Fussball-Bundesliga 2013/2014,2013,bl1,"Row(locationCity='München', locationID=34, locationStadium='Allianz Arena')",2013-08-09T20:30:00,2013-08-09T18:30:00Z,23711,True,"[Row(pointsTeam1=3, pointsTeam2=1, resultDescription='Ergebnis nach Ende der offiziellen Spielzeit', resultID=38235, resultName='Endergebnis', resultOrderID=1, resultTypeID=2), Row(pointsTeam1=2, pointsTeam2=1, resultDescription='Ergebnis nach Ende der ersten Halbzeit', resultID=37516, resultName='Halbzeit', resultOrderID=2, resultTypeID=1)]",71000,"Row(shortName='Bayern', teamGroupName=None, teamIconUrl='https://upload.wikimedia.org/wikipedia/commons/1/1f/Logo_FC_Bayern_M%C3%BCnchen_%282002%E2%80%932017%29.svg', teamId=40, teamName='FC Bayern München')","Row(shortName='Gladbach', teamGroupName=None, teamIconUrl='https://i.imgur.com/KSIk0Eu.png', teamId=87, teamName='Borussia Mönchengladbach')",W. Europe Standard Time
"[Row(comment=None, goalGetterID=114, goalGetterName='', goalID=21136, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=22, scoreTeam1=1, scoreTeam2=0), Row(comment=None, goalGetterID=1623, goalGetterName='', goalID=21144, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=40, scoreTeam1=1, scoreTeam2=1), Row(comment=None, goalGetterID=1582, goalGetterName='', goalID=21145, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=47, scoreTeam1=2, scoreTeam2=1), Row(comment=None, goalGetterID=394, goalGetterName='', goalID=21146, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=52, scoreTeam1=3, scoreTeam2=1)]","Row(groupID=13608, groupName='1. Spieltag', groupOrderID=1)",2013-09-20T08:47:22.953,623,1. Fussball-Bundesliga 2013/2014,2013,bl1,"Row(locationCity='Leverkusen', locationID=28, locationStadium='BayArena')",2013-08-10T15:30:00,2013-08-10T13:30:00Z,23714,True,"[Row(pointsTeam1=3, pointsTeam2=1, resultDescription='Ergebnis nach Ende der offiziellen Spielzeit', resultID=37557, resultName='Endergebnis', resultOrderID=1, resultTypeID=2), Row(pointsTeam1=1, pointsTeam2=1, resultDescription='Ergebnis nach Ende der ersten Halbzeit', resultID=37520, resultName='Halbzeit', resultOrderID=2, resultTypeID=1)]",27136,"Row(shortName='Leverkusen', teamGroupName=None, teamIconUrl='https://www.bundesliga-reisefuehrer.de/sites/default/files/B04_Standard_Logo_RGB.png', teamId=6, teamName='Bayer Leverkusen')","Row(shortName='Freiburg', teamGroupName=None, teamIconUrl='https://i.imgur.com/r3mvi0h.png', teamId=112, teamName='SC Freiburg')",W. Europe Standard Time
"[Row(comment=None, goalGetterID=1114, goalGetterName='', goalID=21134, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=17, scoreTeam1=1, scoreTeam2=0), Row(comment=None, goalGetterID=7272, goalGetterName='', goalID=21155, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=84, scoreTeam1=2, scoreTeam2=0)]","Row(groupID=13608, groupName='1. Spieltag', groupOrderID=1)",2013-09-20T08:47:26.957,623,1. Fussball-Bundesliga 2013/2014,2013,bl1,"Row(locationCity='Hannover', locationID=845, locationStadium='HDI Arena')",2013-08-10T15:30:00,2013-08-10T13:30:00Z,23715,True,"[Row(pointsTeam1=2, pointsTeam2=0, resultDescription='Ergebnis nach Ende der offiziellen Spielzeit', resultID=37521, resultName='Endergebnis', resultOrderID=1, resultTypeID=2), Row(pointsTeam1=1, pointsTeam2=0, resultDescription='Ergebnis nach Ende der ersten Halbzeit', resultID=37522, resultName='Halbzeit', resultOrderID=2, resultTypeID=1)]",44800,"Row(shortName='Hannover', teamGroupName=None, teamIconUrl='https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg', teamId=55, teamName='Hannover 96')","Row(shortName='Wolfsburg', teamGroupName=None, teamIconUrl='https://i.imgur.com/ucqKV4B.png', teamId=131, teamName='VfL Wolfsburg')",W. Europe Standard Time
"[Row(comment=None, goalGetterID=11345, goalGetterName='', goalID=21142, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=34, scoreTeam1=1, scoreTeam2=0), Row(comment=None, goalGetterID=11344, goalGetterName='', goalID=21147, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=51, scoreTeam1=2, scoreTeam2=0), Row(comment=None, goalGetterID=1128, goalGetterName='', goalID=21148, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=54, scoreTeam1=2, scoreTeam2=1), Row(comment=None, goalGetterID=1531, goalGetterName='', goalID=21149, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=57, scoreTeam1=2, scoreTeam2=2)]","Row(groupID=13608, groupName='1. Spieltag', groupOrderID=1)",2013-09-20T08:47:29.177,623,1. Fussball-Bundesliga 2013/2014,2013,bl1,"Row(locationCity='Sinsheim', locationID=511, locationStadium='WIRSOL Rhein-Neckar-Arena')",2013-08-10T15:30:00,2013-08-10T13:30:00Z,23716,True,"[Row(pointsTeam1=2, pointsTeam2=2, resultDescription='Ergebnis nach Ende der offiziellen Spielzeit', resultID=37523, resultName='Endergebnis', resultOrderID=1, resultTypeID=2), Row(pointsTeam1=1, pointsTeam2=0, resultDescription='Ergebnis nach Ende der ersten Halbzeit', resultID=37524, resultName='Halbzeit', resultOrderID=2, resultTypeID=1)]",25730,"Row(shortName='', teamGroupName=None, teamIconUrl='https://www.openligadb.de/images/teamicons/TSG_Hoffenheim.gif', teamId=123, teamName='TSG 1899 Hoffenheim')","Row(shortName='Nürnberg', teamGroupName=None, teamIconUrl='https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_Nürnberg_logo.svg', teamId=79, teamName='1. FC Nürnberg')",W. Europe Standard Time
"[Row(comment=None, goalGetterID=11397, goalGetterName='', goalID=21137, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=24, scoreTeam1=0, scoreTeam2=1), Row(comment=None, goalGetterID=11397, goalGetterName='', goalID=21152, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=66, scoreTeam1=0, scoreTeam2=2), Row(comment=None, goalGetterID=11397, goalGetterName='', goalID=21154, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=79, scoreTeam1=0, scoreTeam2=3), Row(comment=None, goalGetterID=1478, goalGetterName='', goalID=21156, isOvertime=False, isOwnGoal=False, isPenalty=True, matchMinute=86, scoreTeam1=0, scoreTeam2=4)]","Row(groupID=13608, groupName='1. Spieltag', groupOrderID=1)",2013-09-20T08:47:31.64,623,1. Fussball-Bundesliga 2013/2014,2013,bl1,"Row(locationCity='Augsburg', locationID=494, locationStadium='SGL Arena')",2013-08-10T15:30:00,2013-08-10T13:30:00Z,23718,True,"[Row(pointsTeam1=0, pointsTeam2=4, resultDescription='Ergebnis nach Ende der offiziellen Spielzeit', resultID=37525, resultName='Endergebnis', resultOrderID=1, resultTypeID=2), Row(pointsTeam1=0, pointsTeam2=1, resultDescription='Ergebnis nach Ende der ersten Halbzeit', resultID=37526, resultName='Halbzeit', resultOrderID=2, resultTypeID=1)]",30660,"Row(shortName='Augsburg', teamGroupName=None, teamIconUrl='https://i.imgur.com/sdE62e2.png', teamId=95, teamName='FC Augsburg')","Row(shortName='Dortmund', teamGroupName=None, teamIconUrl='https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png', teamId=7, teamName='Borussia Dortmund')",W. Europe Standard Time
"[Row(comment=None, goalGetterID=777, goalGetterName='', goalID=21135, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=18, scoreTeam1=1, scoreTeam2=0), Row(comment=None, goalGetterID=11002, goalGetterName='', goalID=21141, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=32, scoreTeam1=2, scoreTeam2=0), Row(comment=None, goalGetterID=518, goalGetterName='', goalID=21143, isOvertime=False, isOwnGoal=False, isPenalty=True, matchMinute=37, scoreTeam1=2, scoreTeam2=1), Row(comment=None, goalGetterID=64, goalGetterName='', goalID=21150, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=58, scoreTeam1=3, scoreTeam2=1), Row(comment=None, goalGetterID=64, goalGetterName='', goalID=21151, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=60, scoreTeam1=4, scoreTeam2=1), Row(comment=None, goalGetterID=777, goalGetterName='', goalID=21153, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=71, scoreTeam1=5, scoreTeam2=1), Row(comment=None, goalGetterID=1818, goalGetterName='', goalID=21157, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=89, scoreTeam1=6, scoreTeam2=1)]","Row(groupID=13608, groupName='1. Spieltag', groupOrderID=1)",2013-09-20T08:47:42.897,623,1. Fussball-Bundesliga 2013/2014,2013,bl1,"Row(locationCity='Berlin', locationID=22, locationStadium='Olympiastadion')",2013-08-10T15:30:00,2013-08-10T13:30:00Z,23720,True,"[Row(pointsTeam1=6, pointsTeam2=1, resultDescription='Ergebnis nach Ende der offiziellen Spielzeit', resultID=38236, resultName='Endergebnis', resultOrderID=1, resultTypeID=2), Row(pointsTeam1=2, pointsTeam2=1, resultDescription='Ergebnis nach Ende der ersten Halbzeit', resultID=37528, resultName='Halbzeit', resultOrderID=2, resultTypeID=1)]",54376,"Row(shortName='Hertha', teamGroupName=None, teamIconUrl='https://i.imgur.com/apFwbYZ.png', teamId=54, teamName='Hertha BSC')","Row(shortName='Frankfurt', teamGroupName=None, teamIconUrl='https://i.imgur.com/X8NFkOb.png', teamId=91, teamName='Eintracht Frankfurt')",W. Europe Standard Time
"[Row(comment=None, goalGetterID=2701, goalGetterName='', goalID=21180, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=82, scoreTeam1=0, scoreTeam2=1)]","Row(groupID=13608, groupName='1. Spieltag', groupOrderID=1)",2013-09-20T08:43:00.21,623,1. Fussball-Bundesliga 2013/2014,2013,bl1,"Row(locationCity='Braunschweig', locationID=350, locationStadium='Eintracht-Stadion')",2013-08-10T18:30:00,2013-08-10T16:30:00Z,23719,True,"[Row(pointsTeam1=0, pointsTeam2=1, resultDescription='Ergebnis nach Ende der offiziellen Spielzeit', resultID=38237, resultName='Endergebnis', resultOrderID=1, resultTypeID=2), Row(pointsTeam1=0, pointsTeam2=0, resultDescription='Ergebnis nach Ende der ersten Halbzeit', resultID=37554, resultName='Halbzeit', resultOrderID=2, resultTypeID=1)]",23000,"Row(shortName='Braunschweig', teamGroupName=None, teamIconUrl='https://upload.wikimedia.org/wikipedia/de/4/45/Logo_Eintracht_Braunschweig.svg', teamId=74, teamName='Eintracht Braunschweig')","Row(shortName='Bremen', teamGroupName=None, teamIconUrl='https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png', teamId=134, teamName='Werder Bremen')",W. Europe Standard Time
"[Row(comment=None, goalGetterID=11534, goalGetterName='', goalID=21198, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=14, scoreTeam1=1, scoreTeam2=0), Row(comment=None, goalGetterID=803, goalGetterName='', goalID=21199, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=16, scoreTeam1=1, scoreTeam2=1), Row(comment=None, goalGetterID=1208, goalGetterName='', goalID=21200, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=65, scoreTeam1=2, scoreTeam2=1), Row(comment=None, goalGetterID=11534, goalGetterName='', goalID=21201, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=78, scoreTeam1=3, scoreTeam2=1), Row(comment=None, goalGetterID=860, goalGetterName='', goalID=21202, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=82, scoreTeam1=3, scoreTeam2=2)]","Row(groupID=13608, groupName='1. Spieltag', groupOrderID=1)",2013-09-20T08:48:43.343,623,1. Fussball-Bundesliga 2013/2014,2013,bl1,"Row(locationCity='Mainz', locationID=465, locationStadium='Coface Arena')",2013-08-11T15:30:00,2013-08-11T13:30:00Z,23717,True,"[Row(pointsTeam1=3, pointsTeam2=2, resultDescription='Ergebnis nach Ende der offiziellen Spielzeit', resultID=37576, resultName='Endergebnis', resultOrderID=1, resultTypeID=2), Row(pointsTeam1=1, pointsTeam2=1, resultDescription='Ergebnis nach Ende der ersten Halbzeit', resultID=37577, resultName='Halbzeit', resultOrderID=2, resultTypeID=1)]",30279,"Row(shortName='Mainz', teamGroupName=None, teamIconUrl='https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1200px-Logo_Mainz_05.svg.png', teamId=81, teamName='1. FSV Mainz 05')","Row(shortName='Stuttgart', teamGroupName=None, teamIconUrl='https://i.imgur.com/v0tkpNx.png', teamId=16, teamName='VfB Stuttgart')",W. Europe Standard Time
"[Row(comment=None, goalGetterID=11535, goalGetterName='', goalID=21203, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=2, scoreTeam1=1, scoreTeam2=0), Row(comment=None, goalGetterID=6436, goalGetterName='', goalID=21204, isOvertime=False, isOwnGoal=False, isPenalty=True, matchMinute=12, scoreTeam1=1, scoreTeam2=1), Row(comment=None, goalGetterID=11536, goalGetterName='', goalID=21205, isOvertime=False, isOwnGoal=True, isPenalty=False, matchMinute=24, scoreTeam1=1, scoreTeam2=2), Row(comment=None, goalGetterID=11535, goalGetterName='', goalID=21206, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=45, scoreTeam1=2, scoreTeam2=2), Row(comment=None, goalGetterID=11537, goalGetterName='', goalID=21211, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=49, scoreTeam1=2, scoreTeam2=3), Row(comment=None, goalGetterID=1133, goalGetterName='', goalID=21212, isOvertime=False, isOwnGoal=False, isPenalty=False, matchMinute=72, scoreTeam1=3, scoreTeam2=3)]","Row(groupID=13608, groupName='1. Spieltag', groupOrderID=1)",2013-09-20T08:48:50.937,623,1. Fussball-Bundesliga 2013/2014,2013,bl1,"Row(locationCity='Gelsenkirchen', locationID=403, locationStadium='Veltins-Arena')",2013-08-11T17:30:00,2013-08-11T15:30:00Z,23713,True,"[Row(pointsTeam1=3, pointsTeam2=3, resultDescription='Ergebnis nach Ende der offiziellen Spielzeit', resultID=37581, resultName='Endergebnis', resultOrderID=1, resultTypeID=2), Row(pointsTeam1=2, pointsTeam2=2, resultDescription='Ergebnis nach Ende der ersten Halbzeit', resultID=37580, resultName='Halbzeit', resultOrderID=2, resultTypeID=1)]",61973,"Row(shortName='Schalke', teamGroupName=None, teamIconUrl='https://upload.wikimedia.org/wikipedia/commons/9/97/FC_Schalke_04_Logo.png', teamId=9, teamName='FC Schalke 04')","Row(shortName='HSV', teamGroupName=None, teamIconUrl='https://upload.wikimedia.org/wikipedia/commons/f/f7/Hamburger_SV_logo.svg', teamId=100, teamName='Hamburger SV')",W. Europe Standard Time
"[Row(comment=None, goalGetterID=10348, goalGetterName='', goalID=21255, isOvertime=False, isOwnGoal=True, isPenalty=False, matchMinute=42, scoreTeam1=0, scoreTeam2=1)]","Row(groupID=13609, groupName='2. Spieltag', groupOrderID=2)",2013-08-25T18:32:20.143,623,1. Fussball-Bundesliga 2013/2014,2013,bl1,"Row(locationCity='Stuttgart', locationID=493, locationStadium='Mercedes-Benz Arena')",2013-08-17T15:30:00,2013-08-17T13:30:00Z,23725,True,"[Row(pointsTeam1=0, pointsTeam2=1, resultDescription='Ergebnis nach Ende der offiziellen Spielzeit', resultID=37624, resultName='Endergebnis', resultOrderID=1, resultTypeID=2), Row(pointsTeam1=0, pointsTeam2=1, resultDescription='Ergebnis nach Ende der ersten Halbzeit', resultID=37623, resultName='Halbzeit', resultOrderID=2, resultTypeID=1)]",40800,"Row(shortName='Stuttgart', teamGroupName=None, teamIconUrl='https://i.imgur.com/v0tkpNx.png', teamId=16, teamName='VfB Stuttgart')","Row(shortName='Leverkusen', teamGroupName=None, teamIconUrl='https://www.bundesliga-reisefuehrer.de/sites/default/files/B04_Standard_Logo_RGB.png', teamId=6, teamName='Bayer Leverkusen')",W. Europe Standard Time
