teamID,matchYear,matchesPlayed,wins,draws,losses,totalPoints
65,2009,11,4,1,6,13
9,2009,16,9,4,3,31
6,2009,14,9,2,3,29
40,2009,15,10,2,3,32
112,2009,16,4,2,10,14
129,2009,16,6,2,8,20
54,2009,16,4,0,12,12
129,2010,8,3,2,3,11
112,2010,27,10,3,14,33
100,2010,28,10,6,12,36
6,2010,28,13,4,11,43
40,2010,22,13,2,7,41
91,2010,23,11,3,9,36
87,2010,27,11,4,12,37
9,2010,25,12,4,9,40
76,2010,16,8,2,6,26
100,2011,30,9,8,13,35
7,2011,31,21,2,8,65
81,2011,29,12,5,12,41
40,2011,31,20,2,9,62
55,2011,30,14,5,11,47
65,2011,32,14,4,14,46
76,2011,31,8,5,18,29
16,2011,32,17,3,12,54
91,2011,14,2,0,12,6
79,2011,32,15,2,15,47
123,2011,16,8,0,8,24
7,2012,32,22,4,6,70
100,2012,32,16,1,15,49
131,2012,30,9,4,17,31
55,2012,32,12,2,18,38
175,2012,16,4,1,11,13
185,2012,14,7,0,7,21
91,2012,17,8,2,7,26
7,2013,34,26,2,6,80
16,2013,32,12,4,16,40
100,2013,34,13,1,20,40
115,2013,16,5,1,10,16
81,2013,30,13,6,11,45
40,2013,33,28,4,1,88
185,2013,17,3,3,11,12
6,2013,32,20,2,10,62
40,2014,33,26,3,4,81
95,2014,33,12,6,15,42
123,2014,16,7,3,6,24
6,2014,32,17,1,14,52
91,2014,32,11,9,12,42
87,2014,31,16,5,10,53
112,2014,30,11,5,14,38
134,2014,32,8,8,16,32
65,2014,13,5,3,5,18
31,2015,15,4,1,10,13
65,2015,26,10,2,14,32
95,2015,31,14,3,14,45
112,2015,16,7,0,9,21
81,2015,31,13,2,16,41
100,2015,31,12,5,14,41
16,2015,31,8,9,14,33
40,2016,31,22,6,3,72
118,2016,32,9,7,16,34
6,2016,31,10,3,18,33
131,2016,30,12,3,15,39
81,2016,29,15,5,9,50
9,2016,31,14,5,12,47
171,2016,33,16,1,16,49
87,2016,31,12,6,13,42
100,2016,30,10,4,16,34
65,2016,29,12,2,15,38
55,2016,17,2,1,14,7
171,2017,17,7,0,10,21
175,2017,34,20,3,11,63
7,2017,33,20,4,9,64
91,2017,32,10,3,19,33
95,2017,33,15,4,14,49
134,2017,32,14,3,15,45
55,2017,16,3,7,6,16
9,2018,33,16,3,14,51
87,2018,32,15,2,15,47
40,2018,33,24,4,5,76
100,2018,16,5,1,10,16
6,2018,31,17,3,11,54
1635,2018,31,21,2,8,65
95,2018,32,12,4,16,40
65,2018,17,6,2,9,20
16,2018,32,13,4,15,43
185,2018,16,6,1,9,19
40,2019,33,26,2,5,80
87,2019,32,17,1,14,52
7,2019,32,26,1,5,79
185,2019,34,11,4,19,37
54,2019,31,12,2,17,38
91,2019,32,13,3,16,42
175,2019,33,16,5,12,53
79,2019,16,3,2,11,11
31,2019,17,6,1,10,19
80,2019,17,7,2,8,23
134,2020,29,11,2,16,35
131,2020,27,12,3,12,39
9,2020,28,5,3,20,18
65,2020,29,12,3,14,39
