lastUpdateDateTime,leagueId,leagueName,leagueSeason,leagueShortcut,matchDateTime,matchDateTimeUTC,matchID,matchIsFinished,numberOfViewers,group.groupName,location.locationCity,location.locationStadium,team1.shortName,team1.teamIconUrl,team1.teamName,team2.shortName,team2.teamIconUrl,team2.teamName,team1_shortName,team1_teamIconUrl,team1_teamId,team1_teamName,team2_shortName,team2_teamIconUrl,team2_teamId,team2_teamName,location_locationCity,location_locationID,location_locationStadium,group_groupID,group_groupName,group_groupOrderID,goal_comment,goal_goalGetterID,goal_goalGetterName,goal_goalID,goal_isOvertime,goal_isOwnGoal,goal_isPenalty,goal_matchMinute,goal_scoreTeam1,goal_scoreTeam2,result_pointsTeam1,result_pointsTeam2,result_resultDescription,result_resultID,result_resultName,result_resultOrderID,result_resultTypeID
2009-08-15 20:43:13.413,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-07 20:30:00,2009-08-07 20:30:00,5275,True,30000,1. Spieltag,Wolfsburg,Volkswagen Arena,Wolfsburg,https://i.imgur.com/ucqKV4B.png,VfL Wolfsburg,Stuttgart,https://i.imgur.com/v0tkpNx.png,VfB Stuttgart,Wolfsburg,https://i.imgur.com/ucqKV4B.png,131,VfL Wolfsburg,Stuttgart,https://i.imgur.com/v0tkpNx.png,16,VfB Stuttgart,Wolfsburg,20,Volkswagen Arena ,11538,1. Spieltag,1,,73,,126,False,False,False,71,1,0,2,0,Ergebnis nach Ende der offiziellen Spielzeit,6162,Endergebnis,1,2
2009-08-08 17:44:18.120,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-08 15:30:00,2009-08-08 15:30:00,5276,True,78200,1. Spieltag,Dortmund,Signal Iduna Park,Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,Borussia Dortmund,Köln,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/1._FC_Koeln_Logo_2014–.svg/296px-1._FC_Koeln_Logo_2014–.svg.png,1. FC Köln,Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,7,Borussia Dortmund,Köln,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/1._FC_Koeln_Logo_2014–.svg/296px-1._FC_Koeln_Logo_2014–.svg.png,65,1. FC Köln,Dortmund,35,Signal Iduna Park,11538,1. Spieltag,1,,108,,133,False,True,False,75,1,0,1,0,Ergebnis nach Ende der offiziellen Spielzeit,6183,Endergebnis,1,2
2009-08-08 17:35:25.423,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-08 15:30:00,2009-08-08 15:30:00,5277,True,46780,1. Spieltag,Nürnberg,easyCredit Stadion,Nürnberg,https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_Nürnberg_logo.svg,1. FC Nürnberg,Schalke,https://upload.wikimedia.org/wikipedia/commons/9/97/FC_Schalke_04_Logo.png,FC Schalke 04,Nürnberg,https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_Nürnberg_logo.svg,79,1. FC Nürnberg,Schalke,https://upload.wikimedia.org/wikipedia/commons/9/97/FC_Schalke_04_Logo.png,9,FC Schalke 04,Nürnberg,21,easyCredit Stadion,11538,1. Spieltag,1,,77,,131,False,False,False,88,1,2,1,2,Ergebnis nach Ende der offiziellen Spielzeit,6185,Endergebnis,1,2
2009-08-14 18:38:36.193,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-09 17:30:00,2009-08-09 17:30:00,5278,True,24000,1. Spieltag,Freiburg,badenova Stadion,Freiburg,https://i.imgur.com/r3mvi0h.png,SC Freiburg,HSV,https://upload.wikimedia.org/wikipedia/commons/f/f7/Hamburger_SV_logo.svg,Hamburger SV,Freiburg,https://i.imgur.com/r3mvi0h.png,112,SC Freiburg,HSV,https://upload.wikimedia.org/wikipedia/commons/f/f7/Hamburger_SV_logo.svg,100,Hamburger SV,Freiburg,26,badenova Stadion,11538,1. Spieltag,1,,126,,157,False,False,False,3,0,1,1,1,Ergebnis nach Ende der offiziellen Spielzeit,6219,Endergebnis,1,2
2009-08-08 17:45:54.813,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-08 15:30:00,2009-08-08 15:30:00,5279,True,33000,1. Spieltag,Bremen,Weserstadion,Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png,Werder Bremen,Frankfurt,https://i.imgur.com/X8NFkOb.png,Eintracht Frankfurt,Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png,134,Werder Bremen,Frankfurt,https://i.imgur.com/X8NFkOb.png,91,Eintracht Frankfurt,Bremen,36,Weserstadion,11538,1. Spieltag,1,,111,,137,False,False,False,44,2,2,2,3,Ergebnis nach Ende der offiziellen Spielzeit,6187,Endergebnis,1,2
2009-08-08 17:42:05.697,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-08 15:30:00,2009-08-08 15:30:00,5280,True,42169,1. Spieltag,Berlin,Olympiastadion,Hertha,https://i.imgur.com/apFwbYZ.png,Hertha BSC,Hannover,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg,Hannover 96,Hertha,https://i.imgur.com/apFwbYZ.png,54,Hertha BSC,Hannover,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg,55,Hannover 96,Berlin,22,Olympiastadion,11538,1. Spieltag,1,,107,,132,False,False,False,82,1,0,1,0,Ergebnis nach Ende der offiziellen Spielzeit,6189,Endergebnis,1,2
2009-08-14 18:41:53.830,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-08 15:30:00,2009-08-08 15:30:00,5281,True,20000,1. Spieltag,Mainz,Bruchwegstadion,Mainz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1200px-Logo_Mainz_05.svg.png,1. FSV Mainz 05,Leverkusen,https://www.bundesliga-reisefuehrer.de/sites/default/files/B04_Standard_Logo_RGB.png,Bayer Leverkusen,Mainz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1200px-Logo_Mainz_05.svg.png,81,1. FSV Mainz 05,Leverkusen,https://www.bundesliga-reisefuehrer.de/sites/default/files/B04_Standard_Logo_RGB.png,6,Bayer Leverkusen,Mainz,23,Bruchwegstadion,11538,1. Spieltag,1,,68,,140,False,False,False,42,1,1,2,2,Ergebnis nach Ende der offiziellen Spielzeit,6191,Endergebnis,1,2
2009-08-14 18:39:58.347,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-08 18:30:00,2009-08-08 18:30:00,5282,True,30150,1. Spieltag,Sinsheim,Rhein Neckar Arena,Hoffenheim,https://i.imgur.com/gF0PfEl.png,TSG 1899 Hoffenheim,Bayern,https://www.openligadb.de/images/teamicons/Bayern_Muenchen.gif,FC Bayern München,Hoffenheim,https://i.imgur.com/gF0PfEl.png,175,TSG 1899 Hoffenheim,Bayern,https://www.openligadb.de/images/teamicons/Bayern_Muenchen.gif,40,FC Bayern München,Sinsheim,24,Rhein Neckar Arena,11538,1. Spieltag,1,,116,,143,False,False,False,25,0,1,1,1,Ergebnis nach Ende der offiziellen Spielzeit,6193,Endergebnis,1,2
2009-08-14 18:39:38.080,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-09 15:30:00,2009-08-09 15:30:00,5283,True,29766,1. Spieltag,Bochum,rewirpower Stadion,Bochum,https://i.imgur.com/5jy3Gfr.png,VfL Bochum,Gladbach,https://i.imgur.com/KSIk0Eu.png,Borussia Mönchengladbach,Bochum,https://i.imgur.com/5jy3Gfr.png,129,VfL Bochum,Gladbach,https://i.imgur.com/KSIk0Eu.png,87,Borussia Mönchengladbach,Bochum,25,rewirpower Stadion,11538,1. Spieltag,1,,123,,153,False,False,False,41,0,3,3,3,Ergebnis nach Ende der offiziellen Spielzeit,6207,Endergebnis,1,2
2009-08-15 21:20:23.903,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-15 15:30:00,2009-08-15 15:30:00,5284,True,69000,2. Spieltag,München,Allianz Arena,Bayern,https://www.openligadb.de/images/teamicons/Bayern_Muenchen.gif,FC Bayern München,Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png,Werder Bremen,Bayern,https://www.openligadb.de/images/teamicons/Bayern_Muenchen.gif,40,FC Bayern München,Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png,134,Werder Bremen,München,34,Allianz Arena,11539,2. Spieltag,2,,110,,319,False,False,False,39,0,1,1,1,Ergebnis nach Ende der offiziellen Spielzeit,6336,Endergebnis,1,2
